"Girokonto";"DE00000000000000000001"
"Zeitraum:";"01.02.2026 - 28.02.2026"
"Kontostand vom 20.04.2026:";"42.187,63 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"27.02.26";"27.02.26";"Gebucht";"Musterfirma AG";"Max Mustermann";"Lohn/Gehalt 00000000/202602";"Eingang";"DE00000000000000000010";"3.847,55";"";"";""
"27.02.26";"27.02.26";"Gebucht";"ISSUER";"Laden.Muster/Ort7";"VISA Debitkartenumsatz vom 26.02.2026";"Ausgang";"DE00000000000000000020";"-52,55";"";"";"000000000000000"
"27.02.26";"27.02.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort9";"VISA Debitkartenumsatz vom 26.02.2026";"Ausgang";"DE00000000000000000020";"-13,48";"";"";"000000000000000"
"26.02.26";"26.02.26";"Gebucht";"Paul Schmidt";"Max Mustermann";"Porto";"Eingang";"DE00000000000000000110";"7";"";"";""
"26.02.26";"26.02.26";"Gebucht";"ISSUER";"Post.AG/Ort3";"VISA Debitkartenumsatz vom 25.02.2026";"Ausgang";"DE00000000000000000020"; "-8,64";"";"";"000000000000000"
"26.02.26";"26.02.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 25.02.2026";"Ausgang";"DE00000000000000000020"; "-28,96";"";"";"000000000000000"
"26.02.26";"26.02.26";"Gebucht";"Mustermann, Max";"Kindergarten Musterstadt e.V.";"Elternbeitrag Kind 1";"Ausgang";"DE00000000000000000030";"-130";"DE00ZZZ00000000000";"00/00/0An0";""
"26.02.26";"25.02.26";"Gebucht";"Paul Schmidt";"Max Mustermann";"Hardware";"Eingang";"DE00000000000000000110";"380";"";"";""
"25.02.26";"25.02.26";"Gebucht";"Max Mustermann";"Haustechnik Muster";"000000";"Ausgang";"DE00000000000000000120";"-386,74";"";"";"KD0000"
"24.02.26";"24.02.26";"Gebucht";"ISSUER";"Service.Muster/Ort4";"VISA Debitkartenumsatz vom 23.02.2026";"Ausgang";"DE00000000000000000020"; "-15,75";"";"";"000000000000000"
"24.02.26";"24.02.26";"Gebucht";"ISSUER";"Tankstelle.Muster/Ort14";"VISA Debitkartenumsatz vom 22.02.2026";"Ausgang";"DE00000000000000000020"; "-118,59";"";"";"000000000000000"
"24.02.26";"24.02.26";"Gebucht";"ISSUER";"Supermarkt.Muster/Ort6";"VISA Debitkartenumsatz vom 23.02.2026";"Ausgang";"DE00000000000000000020"; "-105,69";"";"";"000000000000000"
"24.02.26";"24.02.26";"Gebucht";"ISSUER";"Cafe.Muster/Ort10";"VISA Debitkartenumsatz vom 23.02.2026";"Ausgang";"DE00000000000000000020"; "-23";"";"";"000000000000000"
"24.02.26";"24.02.26";"Gebucht";"ISSUER";"Baumarkt.M/Ort5";"VISA Debitkartenumsatz vom 23.02.2026";"Ausgang";"DE00000000000000000020"; "-75,58";"";"";"000000000000000"
"24.02.26";"24.02.26";"Gebucht";"Max Mustermann                                                   Musterstr. 1,";"Hosting Provider GmbH";"Kundennummer: K0000000000 Rechnungsnummer: 000000000000";"Ausgang";"DE00000000000000000040";"-12,96";"DE00ZZZ00000000000";"M-C0000000000-0000";"00000000000"
"23.02.26";"23.02.26";"Gebucht";"ISSUER";"Baumarkt.M/Ort5";"VISA Debitkartenumsatz vom 21.02.2026";"Ausgang";"DE00000000000000000020"; "-212,62";"";"";"000000000000000"
"23.02.26";"23.02.26";"Gebucht";"ISSUER";"Volksbank.Ort/Ort15";"VISA Debitkartenumsatz vom 21.02.2026";"Ausgang";"DE00000000000000000020"; "-200";"";"";"000000000000000"
"23.02.26";"23.02.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 20.02.2026";"Ausgang";"DE00000000000000000020"; "-18,13";"";"";"000000000000000"
"23.02.26";"23.02.26";"Gebucht";"ISSUER";"Laden.Muster/Ort7";"VISA Debitkartenumsatz vom 20.02.2026";"Ausgang";"DE00000000000000000020"; "-135,30";"";"";"000000000000000"
"23.02.26";"23.02.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 20.02.2026";"Ausgang";"DE00000000000000000020"; "-53,81";"";"";"000000000000000"
"20.02.26";"20.02.26";"Gebucht";"Max Mustermann";"Lisa Becker";"Hardware Komponente";"Ausgang";"DE00000000000000000130";"-900";"";"";""
"20.02.26";"20.02.26";"Gebucht";"ISSUER";"ComputerShop.GmbH/Ort16";"VISA Debitkartenumsatz vom 19.02.2026";"Ausgang";"DE00000000000000000020"; "-657,89";"";"";"000000000000000"
"19.02.26";"19.02.26";"Gebucht";"Gutschrift.Anlager.b.v./.000000000";"NOTPROVIDED";"00000000000000 Gutschrift.Anlager.b.v. NL";"Eingang";"DE00000000000000000020";"63,50";"";"";"000000000000000"
"17.02.26";"17.02.26";"Gebucht";"ISSUER";"Apotheke.Online/000000000000";"VISA Debitkartenumsatz vom 14.02.2026";"Ausgang";"DE00000000000000000020"; "-224,28";"";"";"000000000000000"
"17.02.26";"17.02.26";"Gebucht";"Max Mustermann                                                   Musterort 0000";"ONLINE SHOP EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND";"000-0000000-0000000 OnlineShop 0000000000000000";"Ausgang";"DE00000000000000000080";"-163,01";"DE00ZZZ00000000000";"00a0000b000c.000000d00";"0000000000000000"
"16.02.26";"16.02.26";"Gebucht";"ISSUER";"Bäckerei.Muster/Ort7";"VISA Debitkartenumsatz vom 15.02.2026";"Ausgang";"DE00000000000000000020"; "-20,15";"";"";"000000000000000"
"16.02.26";"16.02.26";"Gebucht";"ISSUER";"Supermarkt.K/Ort5";"VISA Debitkartenumsatz vom 14.02.2026";"Ausgang";"DE00000000000000000020"; "-115,64";"";"";"000000000000000"
"16.02.26";"16.02.26";"Gebucht";"ISSUER";"Supermarkt.K/Ort5";"VISA Debitkartenumsatz vom 13.02.2026";"Ausgang";"DE00000000000000000020"; "-21,07";"";"";"000000000000000"
"16.02.26";"16.02.26";"Gebucht";"ISSUER";"Schreibwaren.Muster/Ort5";"VISA Debitkartenumsatz vom 13.02.2026";"Ausgang";"DE00000000000000000020"; "-60,75";"";"";"000000000000000"
"16.02.26";"16.02.26";"Gebucht";"Max Mustermann                                                   Musterstr. 1 00000 Musterstadt";"Telekom Anbieter GmbH";"Festnetz Vertragskonto 0000000000 RG 0000000000/05.02.2026";"Ausgang";"DE00000000000000000060";"-47,95";"DE00ZZZ00000000000";"DE000000000000000000000000000000000";"Zahlbeleg 000000000000"
"16.02.26";"16.02.26";"Gebucht";"Mustermann,Max,, Musterstr. 1,CH-0000 Musterort";"Amt Musterstadt";"000000/000 000000 Musterstr. 1, 00000 Musterstadt";"Ausgang";"DE00000000000000000140";"-76,25";"DE00ZZZ00000000000";"MUS000000000000";"0000000"
"13.02.26";"13.02.26";"Gebucht";"ISSUER";"Tankstelle.Ort/Ort13";"VISA Debitkartenumsatz vom 12.02.2026";"Ausgang";"DE00000000000000000020"; "-7,54";"";"";"000000000000000"
"13.02.26";"13.02.26";"Gebucht";"ISSUER";"Zahlungsdienst.Ort/00000000000";"VISA Debitkartenumsatz vom 11.02.2026";"Ausgang";"DE00000000000000000020"; "-301";"";"";"000000000000000"
"12.02.26";"12.02.26";"Gebucht";"Max Mustermann";"TÜV Muster Fahrzeug Gmbh  Co. KG";"KST 0000 Kfz Muster, Vorname";"Ausgang";"DE00000000000000000150";"-1.475,90";"";"";""
"10.02.26";"10.02.26";"Gebucht";"ISSUER";"Autohaus.GmbH/00000000000";"VISA Debitkartenumsatz vom 07.02.2026";"Ausgang";"DE00000000000000000020"; "-3.956,03";"";"";"000000000000000"
"10.02.26";"10.02.26";"Gebucht";"Max Mustermann                                                   Musterstr. 2,";"Hosting Provider GmbH";"Customer No. K0000000000 Invoice No. 000000000000";"Ausgang";"DE00000000000000000040";"-28,11";"DE00ZZZ00000000000";"000000000000";"000000000000"
"10.02.26";"10.02.26";"Gebucht";"Max Mustermann                                                   Musterort 0000";"ONLINE SHOP PAYMENTS EUROPE S.C.A.";"000-0000000-0000000 ONLN Mktp DE 0000000000000000";"Ausgang";"DE00000000000000000080";"-147";"DE00ZZZ00000000000";"00a0000b000c.000000d00";"0000000000000000"
"09.02.26";"09.02.26";"Gebucht";"ISSUER";"Bäckerei.Muster/Ort7";"VISA Debitkartenumsatz vom 08.02.2026";"Ausgang";"DE00000000000000000020"; "-26,90";"";"";"000000000000000"
"09.02.26";"09.02.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 07.02.2026";"Ausgang";"DE00000000000000000020"; "-42,79";"";"";"000000000000000"
