"Girokonto";"DE00000000000000000001"
"Zeitraum:";"01.01.2026 - 31.01.2026"
"Kontostand vom 20.04.2026:";"42.187,63 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"30.01.26";"30.01.26";"Gebucht";"Musterfirma AG";"Max Mustermann";"Lohn/Gehalt 00000000/202601";"Eingang";"DE00000000000000000010";"3.847,55";"";"";""
"30.01.26";"30.01.26";"Gebucht";"Max Mustermann                                                   Musterort 0000";"ONLINE SHOP PAYMENTS EUROPE S.C.A.";"000-0000000-0000000 ONLN Mktp DE 0000000000000000";"Ausgang";"DE00000000000000000080";"-439,99";"DE00ZZZ00000000000";"00a0000b000c.000000d00";"0000000000000000"
"29.01.26";"29.01.26";"Gebucht";"Max Mustermann";"Thomas Braun";"Reise";"Ausgang";"CH0000000000000000000";"-1.550";"";"";""
"28.01.26";"28.01.26";"Gebucht";"ISSUER";"Apotheke.Muster/Ort3";"VISA Debitkartenumsatz vom 27.01.2026";"Ausgang";"DE00000000000000000020"; "-3,20";"";"";"000000000000000"
"28.01.26";"28.01.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 27.01.2026";"Ausgang";"DE00000000000000000020"; "-67,84";"";"";"000000000000000"
"28.01.26";"28.01.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 27.01.2026";"Ausgang";"DE00000000000000000020"; "-23,05";"";"";"000000000000000"
"27.01.26";"27.01.26";"Gebucht";"ISSUER";"Internet.Services/Ort22";"VISA Debitkartenumsatz";"Ausgang";"DE00000000000000000020"; "-104,85";"";"";"000000000000000"
"26.01.26";"26.01.26";"Gebucht";"ISSUER";"Bäckerei.Muster/Ort7";"VISA Debitkartenumsatz vom 25.01.2026";"Ausgang";"DE00000000000000000020"; "-30,34";"";"";"000000000000000"
"26.01.26";"26.01.26";"Gebucht";"ISSUER";"Baumarkt.Danke/Ort11";"VISA Debitkartenumsatz vom 24.01.2026";"Ausgang";"DE00000000000000000020"; "-159,92";"";"";"000000000000000"
"26.01.26";"26.01.26";"Gebucht";"ISSUER";"Volksbank.Ort/Ort15";"VISA Debitkartenumsatz vom 23.01.2026";"Ausgang";"DE00000000000000000020"; "-200";"";"";"000000000000000"
