"Girokonto";"DE00000000000000000001"
"Zeitraum:";"01.04.2026 - 20.04.2026"
"Kontostand vom 20.04.2026:";"42.187,63 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"20.04.26";"20.04.26";"Gebucht";"ISSUER";"Bäckerei.Muster/Ort7";"VISA Debitkartenumsatz vom 19.04.2026";"Ausgang";"DE00000000000000000020";"-18,65";"";"";"000000000000000"
"20.04.26";"20.04.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 18.04.2026";"Ausgang";"DE00000000000000000020"; "-104,02";"";"";"000000000000000"
"20.04.26";"20.04.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 18.04.2026";"Ausgang";"DE00000000000000000020"; "-12,16";"";"";"000000000000000"
"16.04.26";"16.04.26";"Gebucht";"ISSUER";"Supermarkt.Muster/Ort9";"VISA Debitkartenumsatz vom 15.04.2026";"Ausgang";"DE00000000000000000020"; "-72,32";"";"";"000000000000000"
"16.04.26";"16.04.26";"Gebucht";"Max Mustermann                                                   Musterstr. 1 00000 Musterstadt";"Telekom Anbieter GmbH";"Festnetz Vertragskonto 0000000000 RG 0000000000/07.04.2026";"Ausgang";"DE00000000000000000060";"-47,95";"DE00ZZZ00000000000";"DE000000000000000000000000000000000";"Zahlbeleg 000000000000"
"14.04.26";"14.04.26";"Gebucht";"ISSUER";"Supermarkt.M/Ort13";"VISA Debitkartenumsatz vom 13.04.2026";"Ausgang";"DE00000000000000000020"; "-5,89";"";"";"000000000000000"
"14.04.26";"14.04.26";"Gebucht";"ISSUER";"Baumarkt.AG/Ort4";"VISA Debitkartenumsatz vom 13.04.2026";"Ausgang";"DE00000000000000000020"; "-417,45";"";"";"000000000000000"
"14.04.26";"13.04.26";"Gebucht";"ISSUER";"Baumarkt.M/Ort5";"VISA Debitkartenumsatz vom 11.04.2026";"Ausgang";"DE00000000000000000020"; "-160";"";"";"000000000000000"
"14.04.26";"13.04.26";"Gebucht";"ISSUER";"Baumarkt.M/Ort5";"VISA Debitkartenumsatz vom 11.04.2026";"Ausgang";"DE00000000000000000020"; "-57,43";"";"";"000000000000000"
"13.04.26";"13.04.26";"Gebucht";"ISSUER";"Bäckerei.Muster/Ort5";"VISA Debitkartenumsatz vom 11.04.2026";"Ausgang";"DE00000000000000000020"; "-27,01";"";"";"000000000000000"
